,2%,5%,10%,20%
0,0.6,1.5,3.0,6.0
1,0.6,1.6,3.3,6.6
2,0.7,1.8,3.6,7.2
3,0.7,1.9,3.9,7.9
4,0.8,2.1,4.3,8.7
5,0.9,2.4,4.8,9.6
6,1.0,2.6,5.3,10.
7,1.1,2.9,5.8,11.
8,1.2,3.2,6.4,12.
9,1.4,3.5,7.0,14.
10,1.5,3.8,7.7,15.
11,1.7,4.2,8.5,17.
12,1.8,4.7,9.4,18.
13,2.0,5.1,10.,20.
14,2.2,5.6,11.,22.
15,2.5,6.2,12.,25.
16,2.7,6.8,13.,27.
17,3.0,7.5,15.,30.
18,3.3,8.3,16.,33.
19,3.6,9.1,18.,36.
20,4.0,10.,20.,40.
21,4.4,11.,22.,44.
22,4.8,12.,24.,48.
23,5.3,13.,26.,53.
24,5.9,14.,29.,59.
25,6.5,16.,32.,65.
26,7.1,17.,35.,71.
27,7.8,19.,39.,78.
28,8.6,21.,43.,86.
29,9.5,23.,47.,95.
